id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,89530.0,1787070819889.0,1.0,1787075565455.0,23108296940.0,90131.0,88976.0,-66.57330870172882,-0.0743,-1329721761.5981445,-0.07435,19958581.0,19958634.0,21000000.0,126080.0,-28.99592,2025-10-06T18:57:42.558Z,67.81,131920.61544,2013-07-06T00:00:00.000Z,2025-12-07T05:59:32.615Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3045.74,367703565678.0,2.0,367703565678.0,10631446205.0,3061.9,3014.93,8.97,0.29526,1073049025.0,0.29268,120695407.939687,120695407.939687,,4946.05,-38.3618,2025-08-24T19:21:03.333Z,0.432979,704011.82029,2015-10-20T00:00:00.000Z,2025-12-07T05:59:37.992Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,185672782551.0,3.0,191140917306.0,40159614970.0,1.0,1.0,1.876e-05,0.00188,3375910.0,0.00182,185632100913.8539,191099037578.8062,,1.32,-24.40002,2018-07-24T00:00:00.000Z,0.572521,74.71146,2015-03-02T00:00:00.000Z,2025-12-07T05:59:37.698Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.05,123567271340.0,4.0,204784216204.0,1699343753.0,2.07,2.02,0.00460099,0.22512,254689007.0,0.20654,60331635327.0,99985752852.0,100000000000.0,3.65,-43.75981,2025-07-18T03:40:53.808Z,0.00268621,76242.97044,2014-05-22T00:00:00.000Z,2025-12-07T05:59:36.269Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,894.32,123167639336.0,5.0,123167639336.0,976399962.0,898.01,878.82,10.99,1.24431,1495029825.0,1.22873,137735948.63,137735948.63,200000000.0,1369.99,-34.71972,2025-10-13T08:41:24.131Z,0.0398177,2245972.53782,2017-10-19T00:00:00.000Z,2025-12-07T05:59:32.597Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999802,78122709425.0,6.0,78119833991.0,2095334445.0,0.999922,0.999699,2.859e-05,0.00286,-14501638.79510498,-0.01856,78135868993.24388,78132993074.67285,,1.17,-14.7524,2019-05-08T00:40:28.300Z,0.877647,13.90734,2023-03-11T08:02:13.981Z,2025-12-07T05:59:38.155Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.85,74491261202.0,7.0,81798018281.0,2281503068.0,133.77,131.52,-0.27226307946739325,-0.20452,-66345041.20629883,-0.08898,560632118.8102281,615623840.4826865,,293.31,-54.69196,2025-01-19T11:15:27.957Z,0.500801,26436.26012,2020-05-11T19:35:23.449Z,2025-12-07T05:59:36.612Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.286197,27097580068.0,8.0,27097847691.0,525794098.0,0.290393,0.286229,-0.001312273708633793,-0.45643,-121235415.30474472,-0.44541,94679472940.56668,94680408019.28969,,0.431288,-33.59416,2024-12-04T00:10:40.323Z,0.00180434,15772.86255,2017-11-12T00:00:00.000Z,2025-12-07T05:59:37.568Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3045.23,26402640287.0,9.0,26402640287.0,19452592.0,3060.38,3015.21,5.43,0.1786,50628988.0,0.19213,8668963.324833855,8668963.324833855,,4932.89,-38.21505,2025-08-24T19:21:31.902Z,482.9,531.14718,2020-12-22T04:08:21.854Z,2025-12-07T05:59:36.447Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.140143,22642855636.0,10.0,22645693395.0,578010782.0,0.140418,0.138575,0.00077128,0.5534,121202637.0,0.53816,161577462798.579,161597712798.5791,,0.731578,-80.85093,2021-05-08T05:08:23.458Z,8.69e-05,161101.78462,2015-05-06T00:00:00.000Z,2025-12-07T05:59:31.469Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.416077,15240272776.0,11.0,18720036885.0,355887648.0,0.420435,0.410247,0.00165387,0.39908,63449124.0,0.41807,36635198912.50997,45000000000.0,45000000000.0,3.09,-86.53718,2021-09-02T06:00:10.474Z,0.01925275,2058.57648,2020-03-13T02:22:55.044Z,2025-12-07T05:59:30.692Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.029,14469471306.0,12.0,14469471306.0,96951.0,1.038,1.017,-0.009022000000000086,-0.86951,-83522248.52897072,-0.57392,14067432524.45,14067432524.45,,1.37,-24.89945,2025-10-28T06:05:38.345Z,0.155357,562.07641,2025-10-31T14:27:24.456Z,2025-12-07T04:25:25.590Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,60.56,12989203591.0,13.0,19442222857.0,41870654.0,60.87,60.33,-0.14341816601893953,-0.23626,-23915811.623422623,-0.18378,214372548.0,320872548.0,400000000.0,63.15,-3.96546,2025-12-04T03:12:02.334Z,3.06,1880.89845,2023-02-13T19:01:21.899Z,2025-12-07T05:59:38.471Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3719.54,12366818355.0,14.0,12366818355.0,24902790.0,3736.46,3681.62,7.04,0.18967,31564500.0,0.25589,3324679.384698366,3324679.384698366,,7256.02,-48.69586,2022-05-13T15:09:54.509Z,558.54,566.49456,2022-05-13T01:36:45.053Z,2025-12-07T05:59:38.790Z
